 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class,class,cap-shape,cap-surface
37.3203125,41.67225801,3.754493514,14.52474198,81.92056856,75.56270212,0.7382756659999999,-0.49983184700000005,1,p,x,s
21.828125,32.0807354,5.674436569,33.19337966,116.2065217,83.18827615,-0.001290202,-1.224396453,1,e,x,s
82.53125,42.86970403,1.613626349,3.9340688669999997,6.620401338,34.38197375,5.587993285,30.96937876,1,e,b,s
55.5,33.19097204,2.7990662680000002,13.09123069,30.22742475,70.48327051,2.201154709,3.3033305289999997,1,p,x,y
31.796875,34.8057914,4.3275622380000005,20.43281951,38.00501672,62.44372697,1.8438193669999998,2.581170151,1,,,
57.0546875,30.85634776,3.7414820860000004,19.397212600000003,64.13628763,75.11738186,0.92067286,-0.302759175,1,e,x,y
91.5859375,45.86929926,0.540792016,0.9144372690000001,3.3938127089999996,25.49374496,7.937384726,63.53235477,1,e,b,s
46.015625,30.47565226,3.5450515510000002,19.49501343,24.8319398,61.51964379,2.507846989,5.088718665,1,e,b,y
114.2265625,46.381605799999996,0.416414227,0.21544033199999998,16.86371237,53.30781429,3.069775149,7.992743547999999,1,p,x,y
36.078125,36.01683837,3.98302081,17.22746074,61.213210700000005,71.02359959,1.225225465,0.487256339,1,e,b,s
